City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Araure,VE,9.5601,-69.2148,74.39,94,100,3.44,overcast clouds
80,San Cristobal,VE,7.7669,-72.225,75.38,99,100,3.58,overcast clouds
81,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,68.59,73,20,4.47,few clouds
82,Havre,FR,49.5833,0.3333,64.17,88,90,6.91,overcast clouds
83,Uzhur,RU,55.3036,89.8339,68.36,77,94,2.53,overcast clouds
84,Bama,NG,11.5221,13.6856,77.47,74,67,10.69,broken clouds
85,Grand-Santi,GF,4.25,-54.3833,73.08,98,96,2.21,overcast clouds
86,Sioux Lookout,CA,50.1001,-91.917,77.38,46,90,8.05,smoke
87,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,92,32,5.79,scattered clouds
88,Castro,BR,-24.7911,-50.0119,53.58,74,0,2.08,clear sky
89,Chuy,UY,-33.6971,-53.4616,56.16,84,98,7.27,overcast clouds
90,Norman Wells,CA,65.282,-126.8329,68.04,37,75,9.22,broken clouds
91,Vila Velha,BR,-20.3297,-40.2925,64.35,88,0,3.44,clear sky
92,Brigantine,US,39.4101,-74.3646,77.2,68,1,9.22,clear sky
93,Ambilobe,MG,-13.2,49.05,62.91,83,46,3.15,scattered clouds
94,Kankon,IN,15.0167,74.0167,78.6,85,100,12.33,overcast clouds
95,Buala,SB,-8.145,159.5921,78.33,90,96,7.76,light rain
96,Ganzhou,CN,28.8184,115.4327,81.86,73,8,7.92,clear sky
97,Esperance,AU,-33.8667,121.9,51.64,74,27,17.29,scattered clouds
98,Powell River,CA,49.8496,-124.5361,86.04,44,20,9.22,few clouds
99,Barstow,US,34.8986,-117.0228,98.15,19,93,12.33,overcast clouds
100,Shellbrook,CA,53.2168,-106.4011,76.23,19,9,19.75,clear sky
101,Tomatlan,MX,19.9333,-105.25,85.93,72,33,8.7,scattered clouds
102,Margate,GB,51.3813,1.3862,64.69,87,84,1.01,broken clouds
103,Veraval,IN,20.9,70.3667,81.54,83,100,17.29,overcast clouds
104,Lompoc,US,34.6391,-120.4579,85.01,71,20,5.99,few clouds
105,Namibe,AO,-15.1961,12.1522,66.36,72,0,7.05,clear sky
106,Nantucket,US,41.2835,-70.0995,71.71,82,1,3.44,clear sky
107,Hambantota,LK,6.1241,81.1185,79.14,100,75,11.5,broken clouds
108,Avarua,CK,-21.2078,-159.775,78.85,65,75,6.91,broken clouds
109,Portland,US,45.5234,-122.6762,93.7,39,1,3.0,clear sky
110,Narsaq,GL,60.9167,-46.05,46.62,93,85,3.4,overcast clouds
111,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,16.11,broken clouds
112,Clyde River,CA,70.4692,-68.5914,34.03,93,90,24.16,light rain
113,Pisco,PE,-13.7,-76.2167,62.65,77,0,14.97,clear sky
114,Buchanan,LR,5.8808,-10.0467,73.36,81,73,7.81,broken clouds
115,Nioro,GM,13.35,-15.75,77.67,71,73,7.02,broken clouds
116,Rudbar,AF,30.15,62.6,87.51,15,16,4.94,few clouds
117,Ugoofaaru,MV,5.6667,73.0,81.36,75,91,5.61,overcast clouds
118,Seoul,KR,37.5683,126.9778,89.17,51,0,9.22,clear sky
119,Manadhoo,MV,5.7667,73.3833,81.84,74,97,6.64,overcast clouds
120,Brae,GB,60.3964,-1.353,55.31,83,74,3.85,broken clouds
121,Yavatmal,IN,20.4,78.1333,74.61,87,100,13.62,overcast clouds
122,Nome,US,64.5011,-165.4064,50.16,87,90,11.5,overcast clouds
123,Vrises,GR,35.492,23.8899,77.2,58,0,2.39,clear sky
124,Alekseyevka,RU,50.6309,38.6903,59.85,73,30,5.53,scattered clouds
125,Dikson,RU,73.5069,80.5464,37.6,96,94,12.17,overcast clouds
126,Palmer,US,42.1584,-72.3287,74.57,67,75,6.91,broken clouds
127,Ucluelet,CA,48.9329,-125.5528,86.04,73,11,4.0,few clouds
128,Srebrenica,BA,44.1064,19.2969,68.77,68,34,4.92,scattered clouds
