City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
90,Norman Wells,CA,68.04,broken clouds,65.282,-126.8329,Heritage Hotel
91,Vila Velha,BR,64.35,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
92,Brigantine,US,77.2,clear sky,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
93,Ambilobe,MG,62.91,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
94,Kankon,IN,78.6,overcast clouds,15.0167,74.0167,Palolem Beach Resort
95,Buala,SB,78.33,light rain,-8.145,159.5921,Maringe Lagoon Lodge
96,Ganzhou,CN,81.86,clear sky,28.8184,115.4327,Laotou Farm Restaurant Hostel
97,Esperance,AU,51.64,scattered clouds,-33.8667,121.9,Hospitality Esperance
98,Powell River,CA,86.04,few clouds,49.8496,-124.5361,Rodmay Hotel
99,Barstow,US,98.15,overcast clouds,34.8986,-117.0228,"Motel 6 Barstow, CA"
100,Shellbrook,CA,76.23,clear sky,53.2168,-106.4011,Shellbrook Hotel
101,Tomatlan,MX,85.93,scattered clouds,19.9333,-105.25,El Salvial
102,Margate,GB,64.69,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
103,Veraval,IN,81.54,overcast clouds,20.9,70.3667,Lords Inn Somnath
104,Lompoc,US,85.01,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
105,Namibe,AO,66.36,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
106,Nantucket,US,71.71,clear sky,41.2835,-70.0995,Jared Coffin House
107,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
108,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
109,Portland,US,93.7,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
113,Pisco,PE,62.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
114,Buchanan,LR,73.36,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
117,Ugoofaaru,MV,81.36,overcast clouds,5.6667,73.0,Ungoofaaru Inn
118,Seoul,KR,89.17,clear sky,37.5683,126.9778,롯데호텔 서울
119,Manadhoo,MV,81.84,overcast clouds,5.7667,73.3833,Vevu Guesthouse
120,Brae,GB,55.31,broken clouds,60.3964,-1.353,Busta House Hotel
121,Yavatmal,IN,74.61,overcast clouds,20.4,78.1333,Palash Inn
122,Nome,US,50.16,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
123,Vrises,GR,77.2,clear sky,35.492,23.8899,Porto Platanias Beach Resort & Spa
124,Alekseyevka,RU,59.85,scattered clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
126,Palmer,US,74.57,broken clouds,42.1584,-72.3287,Wedgewood Motel
127,Ucluelet,CA,86.04,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
128,Srebrenica,BA,68.77,scattered clouds,44.1064,19.2969,MX - prenocista
130,Nhamunda,BR,80.15,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
132,Airai,TL,68.58,clear sky,-8.9266,125.4092,Juvinal Martin
134,Salalah,OM,77.09,drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
136,Peniche,PT,66.72,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
138,Geraldton,AU,55.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
139,Altay,CN,69.21,clear sky,47.8667,88.1167,Jinqiao Hotel
140,Ngunguru,NZ,62.17,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
141,Sawtell,AU,66.22,clear sky,-30.3833,153.1,Island Beach House Sawtell
142,Lanxi,CN,76.75,light rain,29.2195,119.477,Shangri-La Hotel
144,Khorramabad,IR,80.73,clear sky,33.4878,48.3558,Azadi Hotel
145,Lewiston,US,70.83,clear sky,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
146,Kieta,PG,85.24,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
147,Impfondo,CG,71.67,light rain,1.6381,18.0667,Auberge La Place de Jules
148,Dwarka,IN,82.9,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
152,Shenzhen,CN,86.14,light rain,22.5455,114.0683,Shenzhen Shanghai Hotel
153,Cidreira,BR,61.5,scattered clouds,-30.1811,-50.2056,Hotel Castelo
154,Corinto,GR,79.9,clear sky,37.9407,22.9573,Ephira Hotel
155,Safranbolu,TR,59.45,clear sky,41.2508,32.6942,Canbulat & Canbulat Tourism
156,Aleksandrov Gay,RU,67.95,few clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
157,Ilebo,CD,68.4,clear sky,-4.3167,20.5833,Hôtel BUMAK
158,Svetlogorsk,BY,65.98,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
159,Meulaboh,ID,76.28,overcast clouds,4.1363,96.1285,Kost Pria
160,Eyl,SO,80.26,overcast clouds,7.9803,49.8164,Amiin Hotel
162,Amos,CA,62.58,moderate rain,48.5669,-78.1162,"Amosphère, complexe hôtelier"
163,Visnes,NO,61.57,clear sky,59.3556,5.2242,Park Inn Haugesund Airport
165,La Ronge,CA,68.25,broken clouds,55.1001,-105.2842,Northland Motor Hotel
166,Yulara,AU,55.24,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
168,Ramsar,IR,80.04,overcast clouds,36.9226,50.6426,Rasa Residential Hotel
169,Dingtao,CN,80.89,clear sky,35.0683,115.5625,VX Heze Dingtao District Taoyi Road Hotel
170,Diu,IN,81.43,overcast clouds,20.7141,70.9822,Hotel Relax Inn
171,Shihezi,CN,80.65,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
172,Hualmay,PE,63.61,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
173,Dorado,PR,81.9,scattered clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
174,Sao Filipe,CV,73.99,scattered clouds,14.8961,-24.4956,Hotel Xaguate
176,Bandarbeyla,SO,78.58,scattered clouds,9.4942,50.8122,JABIR HOTEL
177,Saint-Philippe,RE,65.75,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
180,Talara,PE,66.16,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
182,Harwich,GB,64.0,overcast clouds,51.9419,1.2844,Premier Inn Harwich hotel
183,Faanui,PF,78.53,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
185,Inirida,CO,73.56,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
186,Camabatela,AO,58.06,clear sky,-8.1881,15.375,Pensão E Restaurantes
187,Matagami,CA,60.91,moderate rain,49.7502,-77.6328,Hôtel Matagami
188,Pendleton,US,97.74,clear sky,45.6721,-118.7886,Americas Best Value Inn Pendleton
189,Cabo San Lucas,MX,95.5,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
190,Gizo,SB,82.9,light rain,-8.103,156.8419,Imagination Island
191,Flinders,AU,56.37,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
192,Dali,CN,64.2,scattered clouds,25.7,100.1833,Dali Travelling With Hostel
193,Dalvik,IS,57.13,broken clouds,65.9702,-18.5286,Dalvík HI Hostel
194,Te Anau,NZ,50.9,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
195,Kimbe,PG,86.86,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
196,Grand Baie,MU,70.27,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
197,Port Elizabeth,ZA,50.92,clear sky,-33.918,25.5701,39 On Nile Guest House
198,Golden,US,85.48,scattered clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
199,Klaksvik,FO,50.92,broken clouds,62.2266,-6.589,Airbnb rooms
200,Bengkulu,ID,75.99,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
201,San Quintin,MX,71.73,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
202,Spentrup,DK,65.95,scattered clouds,56.537,10.0379,Hvidsten Inn
203,Port Moresby,PG,72.82,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
